"Area","Taxa","Year","Trait","Variable","Value"
"EBS","Benthos",1973,"Deposit.feeder","abundance",0.607273251642525
"EBS","Benthos",1973,"Deposit.feeder","biomass",0.644873687045516
"EBS","Benthos",1973,"Direct.dvlpt","abundance",0.361474889696444
"EBS","Benthos",1973,"Direct.dvlpt","biomass",NA
"EBS","Benthos",1973,"Epibenthic","abundance",0.154206714519053
"EBS","Benthos",1973,"Epibenthic","biomass",0.102546296296296
"EBS","Benthos",1973,"Lecitotrophic","abundance",0.219752465200294
"EBS","Benthos",1973,"Lecitotrophic","biomass",NA
"EBS","Benthos",1973,"Middle","abundance",0.342320020562074
"EBS","Benthos",1973,"Middle","biomass",0.4118244474885
"EBS","Benthos",1973,"Planktotrophic","abundance",0.376908604983443
"EBS","Benthos",1973,"Planktotrophic","biomass",NA
"EBS","Benthos",1973,"Predator","abundance",0.23429180256566
"EBS","Benthos",1973,"Predator","biomass",0.121088168373151
"EBS","Benthos",1973,"Scavenger","abundance",0.0234129176134634
"EBS","Benthos",1973,"Scavenger","biomass",0.0065003061849357
"EBS","Benthos",1973,"Size","abundance",3.97808868503395
"EBS","Benthos",1973,"Size","biomass",4.27580942867887
"EBS","Benthos",1973,"Suspension.feeder","abundance",0.102803859336338
"EBS","Benthos",1973,"Suspension.feeder","biomass",0.194180891238671
"EBS","Benthos",1973,"Top","abundance",0.314190974794832
"EBS","Benthos",1973,"Top","biomass",0.37214969926487
"EBS","Benthos",1974,"Deposit.feeder","abundance",0.534596462059284
"EBS","Benthos",1974,"Deposit.feeder","biomass",0.330041246271972
"EBS","Benthos",1974,"Direct.dvlpt","abundance",0.310829100477398
"EBS","Benthos",1974,"Direct.dvlpt","biomass",NA
"EBS","Benthos",1974,"Epibenthic","abundance",0.281008860809617
"EBS","Benthos",1974,"Epibenthic","biomass",0.274187073464472
"EBS","Benthos",1974,"Lecitotrophic","abundance",0.201680025696857
"EBS","Benthos",1974,"Lecitotrophic","biomass",NA
"EBS","Benthos",1974,"Middle","abundance",0.230312061500203
"EBS","Benthos",1974,"Middle","biomass",0.229899105273177
"EBS","Benthos",1974,"Planktotrophic","abundance",0.513986832874753
"EBS","Benthos",1974,"Planktotrophic","biomass",NA
"EBS","Benthos",1974,"Predator","abundance",0.348324446620339
"EBS","Benthos",1974,"Predator","biomass",0.308053810520972
"EBS","Benthos",1974,"Scavenger","abundance",0.0207506232232908
"EBS","Benthos",1974,"Scavenger","biomass",0.0088748627881449
"EBS","Benthos",1974,"Size","abundance",3.86365021054685
"EBS","Benthos",1974,"Size","biomass",3.86102847500948
"EBS","Benthos",1974,"Suspension.feeder","abundance",0.0549800696442214
"EBS","Benthos",1974,"Suspension.feeder","biomass",0.0665619036928948
"EBS","Benthos",1974,"Top","abundance",0.310192889417832
"EBS","Benthos",1974,"Top","biomass",0.224376731301939
"EBS","Benthos",1979,"Deposit.feeder","abundance",0.529372005994908
"EBS","Benthos",1979,"Deposit.feeder","biomass",0.540893769152196
"EBS","Benthos",1979,"Direct.dvlpt","abundance",0.384698085090663
"EBS","Benthos",1979,"Direct.dvlpt","biomass",NA
