"Area" "Taxa" "Year" "Trait" "Variable" "Value"
"361" "EBS" "Benthos" 1973 "Deposit.feeder" "abundance" 0.607273251642525
"362" "EBS" "Benthos" 1973 "Deposit.feeder" "biomass" 0.644873687045516
"363" "EBS" "Benthos" 1973 "Direct.dvlpt" "abundance" 0.361474889696444
"364" "EBS" "Benthos" 1973 "Direct.dvlpt" "biomass" NA
"365" "EBS" "Benthos" 1973 "Epibenthic" "abundance" 0.154206714519053
"366" "EBS" "Benthos" 1973 "Epibenthic" "biomass" 0.102546296296296
"373" "EBS" "Benthos" 1973 "Lecitotrophic" "abundance" 0.219752465200294
"374" "EBS" "Benthos" 1973 "Lecitotrophic" "biomass" NA
"377" "EBS" "Benthos" 1973 "Middle" "abundance" 0.342320020562074
"378" "EBS" "Benthos" 1973 "Middle" "biomass" 0.4118244474885
"379" "EBS" "Benthos" 1973 "Planktotrophic" "abundance" 0.376908604983443
"380" "EBS" "Benthos" 1973 "Planktotrophic" "biomass" NA
"381" "EBS" "Benthos" 1973 "Predator" "abundance" 0.23429180256566
"382" "EBS" "Benthos" 1973 "Predator" "biomass" 0.121088168373151
"383" "EBS" "Benthos" 1973 "Scavenger" "abundance" 0.0234129176134634
"384" "EBS" "Benthos" 1973 "Scavenger" "biomass" 0.0065003061849357
"385" "EBS" "Benthos" 1973 "Size" "abundance" 3.97808868503395
"386" "EBS" "Benthos" 1973 "Size" "biomass" 4.27580942867887
"387" "EBS" "Benthos" 1973 "Suspension.feeder" "abundance" 0.102803859336338
"388" "EBS" "Benthos" 1973 "Suspension.feeder" "biomass" 0.194180891238671
"391" "EBS" "Benthos" 1973 "Top" "abundance" 0.314190974794832
"392" "EBS" "Benthos" 1973 "Top" "biomass" 0.37214969926487
"405" "EBS" "Benthos" 1974 "Deposit.feeder" "abundance" 0.534596462059284
"406" "EBS" "Benthos" 1974 "Deposit.feeder" "biomass" 0.330041246271972
"407" "EBS" "Benthos" 1974 "Direct.dvlpt" "abundance" 0.310829100477398
"408" "EBS" "Benthos" 1974 "Direct.dvlpt" "biomass" NA
"409" "EBS" "Benthos" 1974 "Epibenthic" "abundance" 0.281008860809617
"410" "EBS" "Benthos" 1974 "Epibenthic" "biomass" 0.274187073464472
"417" "EBS" "Benthos" 1974 "Lecitotrophic" "abundance" 0.201680025696857
"418" "EBS" "Benthos" 1974 "Lecitotrophic" "biomass" NA
"421" "EBS" "Benthos" 1974 "Middle" "abundance" 0.230312061500203
"422" "EBS" "Benthos" 1974 "Middle" "biomass" 0.229899105273177
"423" "EBS" "Benthos" 1974 "Planktotrophic" "abundance" 0.513986832874753
"424" "EBS" "Benthos" 1974 "Planktotrophic" "biomass" NA
"425" "EBS" "Benthos" 1974 "Predator" "abundance" 0.348324446620339
"426" "EBS" "Benthos" 1974 "Predator" "biomass" 0.308053810520972
"427" "EBS" "Benthos" 1974 "Scavenger" "abundance" 0.0207506232232908
"428" "EBS" "Benthos" 1974 "Scavenger" "biomass" 0.0088748627881449
"429" "EBS" "Benthos" 1974 "Size" "abundance" 3.86365021054685
"430" "EBS" "Benthos" 1974 "Size" "biomass" 3.86102847500948
"431" "EBS" "Benthos" 1974 "Suspension.feeder" "abundance" 0.0549800696442214
"432" "EBS" "Benthos" 1974 "Suspension.feeder" "biomass" 0.0665619036928948
"435" "EBS" "Benthos" 1974 "Top" "abundance" 0.310192889417832
"436" "EBS" "Benthos" 1974 "Top" "biomass" 0.224376731301939
"449" "EBS" "Benthos" 1979 "Deposit.feeder" "abundance" 0.529372005994908
"450" "EBS" "Benthos" 1979 "Deposit.feeder" "biomass" 0.540893769152196
"451" "EBS" "Benthos" 1979 "Direct.dvlpt" "abundance" 0.384698085090663
"452" "EBS" "Benthos" 1979 "Direct.dvlpt" "biomass" NA
"453" "EBS" "Benthos" 1979 "Epibenthic" "abundance" 0.278134825290676
"454" "EBS" "Benthos" 1979 "Epibenthic" "biomass" 0.107947077593654
"461" "EBS" "Benthos" 1979 "Lecitotrophic" "abundance" 0.260411481511706
"462" "EBS" "Benthos" 1979 "Lecitotrophic" "biomass" NA
"465" "EBS" "Benthos" 1979 "Middle" "abundance" 0.306632641176483
"466" "EBS" "Benthos" 1979 "Middle" "biomass" 0.425893625205441
"467" "EBS" "Benthos" 1979 "Planktotrophic" "abundance" 0.33853858655216
"468" "EBS" "Benthos" 1979 "Planktotrophic" "biomass" NA
"469" "EBS" "Benthos" 1979 "Predator" "abundance" 0.349911915539921
"470" "EBS" "Benthos" 1979 "Predator" "biomass" 0.130799934296978
"471" "EBS" "Benthos" 1979 "Scavenger" "abundance" 0.0323449114696571
"472" "EBS" "Benthos" 1979 "Scavenger" "biomass" 0.00109189351782223
"473" "EBS" "Benthos" 1979 "Size" "abundance" 4.00331391826668
"474" "EBS" "Benthos" 1979 "Size" "biomass" 4.11748992952498
"475" "EBS" "Benthos" 1979 "Suspension.feeder" "abundance" 0.0457431458145997
"476" "EBS" "Benthos" 1979 "Suspension.feeder" "biomass" 0.0259268531989038
"479" "EBS" "Benthos" 1979 "Top" "abundance" 0.368793231721193
"480" "EBS" "Benthos" 1979 "Top" "biomass" 0.424426007461697
"493" "EBS" "Benthos" 1980 "Deposit.feeder" "abundance" 0.531345521313046
"494" "EBS" "Benthos" 1980 "Deposit.feeder" "biomass" 0.466211530391267
"495" "EBS" "Benthos" 1980 "Direct.dvlpt" "abundance" 0.347742870439423
"496" "EBS" "Benthos" 1980 "Direct.dvlpt" "biomass" NA
"497" "EBS" "Benthos" 1980 "Epibenthic" "abundance" 0.341596882932658
"498" "EBS" "Benthos" 1980 "Epibenthic" "biomass" 0.25703958263778
"505" "EBS" "Benthos" 1980 "Lecitotrophic" "abundance" 0.215882873675381
"506" "EBS" "Benthos" 1980 "Lecitotrophic" "biomass" NA
"509" "EBS" "Benthos" 1980 "Middle" "abundance" 0.310884037228765
"510" "EBS" "Benthos" 1980 "Middle" "biomass" 0.36594777284285
"511" "EBS" "Benthos" 1980 "Planktotrophic" "abundance" 0.414780343730411
"512" "EBS" "Benthos" 1980 "Planktotrophic" "biomass" NA
"513" "EBS" "Benthos" 1980 "Predator" "abundance" 0.390378828428199
"514" "EBS" "Benthos" 1980 "Predator" "biomass" 0.268613415869534
"515" "EBS" "Benthos" 1980 "Scavenger" "abundance" 0
"516" "EBS" "Benthos" 1980 "Scavenger" "biomass" 0
"517" "EBS" "Benthos" 1980 "Size" "abundance" 3.9944997499414
"518" "EBS" "Benthos" 1980 "Size" "biomass" 3.70781996077786
"519" "EBS" "Benthos" 1980 "Suspension.feeder" "abundance" 0.0441240835279408
"520" "EBS" "Benthos" 1980 "Suspension.feeder" "biomass" 0.0137162649733006
"523" "EBS" "Benthos" 1980 "Top" "abundance" 0.333223564948604
"524" "EBS" "Benthos" 1980 "Top" "biomass" 0.366242081087371
"537" "EBS" "Benthos" 1981 "Deposit.feeder" "abundance" 0.539676694627683
"538" "EBS" "Benthos" 1981 "Deposit.feeder" "biomass" 0.505059183830759
"539" "EBS" "Benthos" 1981 "Direct.dvlpt" "abundance" 0.406984100914186
"540" "EBS" "Benthos" 1981 "Direct.dvlpt" "biomass" NA
"541" "EBS" "Benthos" 1981 "Epibenthic" "abundance" 0.2384710789889
"542" "EBS" "Benthos" 1981 "Epibenthic" "biomass" 0.184955495060105
"549" "EBS" "Benthos" 1981 "Lecitotrophic" "abundance" 0.228644397408546
"550" "EBS" "Benthos" 1981 "Lecitotrophic" "biomass" NA
"553" "EBS" "Benthos" 1981 "Middle" "abundance" 0.31806427749779
"554" "EBS" "Benthos" 1981 "Middle" "biomass" 0.379152252683394
"555" "EBS" "Benthos" 1981 "Planktotrophic" "abundance" 0.329986633548917
"556" "EBS" "Benthos" 1981 "Planktotrophic" "biomass" NA
"557" "EBS" "Benthos" 1981 "Predator" "abundance" 0.332927533698802
"558" "EBS" "Benthos" 1981 "Predator" "biomass" 0.210553140096618
"559" "EBS" "Benthos" 1981 "Scavenger" "abundance" 0.024876658086837
"560" "EBS" "Benthos" 1981 "Scavenger" "biomass" 0.00683985873096399
"561" "EBS" "Benthos" 1981 "Size" "abundance" 4.02001483032369
"562" "EBS" "Benthos" 1981 "Size" "biomass" 4.14892751275149
"563" "EBS" "Benthos" 1981 "Suspension.feeder" "abundance" 0.0642185670574202
"564" "EBS" "Benthos" 1981 "Suspension.feeder" "biomass" 0.134736851980412
"567" "EBS" "Benthos" 1981 "Top" "abundance" 0.359751622058871
"568" "EBS" "Benthos" 1981 "Top" "biomass" 0.395147390739348
"581" "EBS" "Benthos" 1982 "Deposit.feeder" "abundance" 0.301690292300777
"582" "EBS" "Benthos" 1982 "Deposit.feeder" "biomass" 0.386316337148803
"583" "EBS" "Benthos" 1982 "Direct.dvlpt" "abundance" 0.272864443064426
"584" "EBS" "Benthos" 1982 "Direct.dvlpt" "biomass" NA
"585" "EBS" "Benthos" 1982 "Epibenthic" "abundance" 0.348720366847422
"586" "EBS" "Benthos" 1982 "Epibenthic" "biomass" 0.150331356818975
"593" "EBS" "Benthos" 1982 "Lecitotrophic" "abundance" 0
"594" "EBS" "Benthos" 1982 "Lecitotrophic" "biomass" NA
"597" "EBS" "Benthos" 1982 "Middle" "abundance" 0.197149935163435
"598" "EBS" "Benthos" 1982 "Middle" "biomass" 0.393375982940157
"599" "EBS" "Benthos" 1982 "Planktotrophic" "abundance" 0.581997254157423
"600" "EBS" "Benthos" 1982 "Planktotrophic" "biomass" NA
"601" "EBS" "Benthos" 1982 "Predator" "abundance" 0.468314114832006
"602" "EBS" "Benthos" 1982 "Predator" "biomass" 0.187343506401474
"603" "EBS" "Benthos" 1982 "Scavenger" "abundance" 0
"604" "EBS" "Benthos" 1982 "Scavenger" "biomass" 0
"605" "EBS" "Benthos" 1982 "Size" "abundance" 3.55983643772032
"606" "EBS" "Benthos" 1982 "Size" "biomass" 3.44903386364954
"607" "EBS" "Benthos" 1982 "Suspension.feeder" "abundance" 0.128274107755558
"608" "EBS" "Benthos" 1982 "Suspension.feeder" "biomass" 0.4142850837508
"611" "EBS" "Benthos" 1982 "Top" "abundance" 0.335931016119092
"612" "EBS" "Benthos" 1982 "Top" "biomass" 0.416579147447919
"625" "EBS" "Benthos" 1986 "Deposit.feeder" "abundance" 0.413409646898206
"626" "EBS" "Benthos" 1986 "Deposit.feeder" "biomass" 0.322290874524715
"627" "EBS" "Benthos" 1986 "Direct.dvlpt" "abundance" 0.467417223105163
"628" "EBS" "Benthos" 1986 "Direct.dvlpt" "biomass" NA
"629" "EBS" "Benthos" 1986 "Epibenthic" "abundance" 0.392939558441683
"630" "EBS" "Benthos" 1986 "Epibenthic" "biomass" 0.508555133079848
"637" "EBS" "Benthos" 1986 "Lecitotrophic" "abundance" 0.157205783016047
"638" "EBS" "Benthos" 1986 "Lecitotrophic" "biomass" NA
"641" "EBS" "Benthos" 1986 "Middle" "abundance" 0.212799172866166
"642" "EBS" "Benthos" 1986 "Middle" "biomass" 0.162385931558935
"643" "EBS" "Benthos" 1986 "Planktotrophic" "abundance" 0.374719368793606
"644" "EBS" "Benthos" 1986 "Planktotrophic" "biomass" NA
"645" "EBS" "Benthos" 1986 "Predator" "abundance" 0.490358713802971
"646" "EBS" "Benthos" 1986 "Predator" "biomass" 0.634077946768061
"647" "EBS" "Benthos" 1986 "Scavenger" "abundance" 0.0154261638950353
"648" "EBS" "Benthos" 1986 "Scavenger" "biomass" 0
"649" "EBS" "Benthos" 1986 "Size" "abundance" 3.89741785744163
"650" "EBS" "Benthos" 1986 "Size" "biomass" 3.76370678815729
"651" "EBS" "Benthos" 1986 "Suspension.feeder" "abundance" 0.0788825544770601
"652" "EBS" "Benthos" 1986 "Suspension.feeder" "biomass" 0.0423479087452471
"655" "EBS" "Benthos" 1986 "Top" "abundance" 0.373281685794902
"656" "EBS" "Benthos" 1986 "Top" "biomass" 0.328735741444867
"669" "EBS" "Benthos" 1987 "Deposit.feeder" "abundance" 0.423725423669603
"670" "EBS" "Benthos" 1987 "Deposit.feeder" "biomass" 0.289840126097726
"671" "EBS" "Benthos" 1987 "Direct.dvlpt" "abundance" 0.428234513736789
"672" "EBS" "Benthos" 1987 "Direct.dvlpt" "biomass" NA
"673" "EBS" "Benthos" 1987 "Epibenthic" "abundance" 0.365502896223731
"674" "EBS" "Benthos" 1987 "Epibenthic" "biomass" 0.51159648727764
"681" "EBS" "Benthos" 1987 "Lecitotrophic" "abundance" 0.129151381103109
"682" "EBS" "Benthos" 1987 "Lecitotrophic" "biomass" NA
"685" "EBS" "Benthos" 1987 "Middle" "abundance" 0.234396718870235
"686" "EBS" "Benthos" 1987 "Middle" "biomass" 0.173722134654357
"687" "EBS" "Benthos" 1987 "Planktotrophic" "abundance" 0.442614105160103
"688" "EBS" "Benthos" 1987 "Planktotrophic" "biomass" NA
"689" "EBS" "Benthos" 1987 "Predator" "abundance" 0.492369953218932
"690" "EBS" "Benthos" 1987 "Predator" "biomass" 0.611501913983337
"691" "EBS" "Benthos" 1987 "Scavenger" "abundance" 0
"692" "EBS" "Benthos" 1987 "Scavenger" "biomass" 0
"693" "EBS" "Benthos" 1987 "Size" "abundance" 3.82060818444593
"694" "EBS" "Benthos" 1987 "Size" "biomass" 3.64106704078177
"695" "EBS" "Benthos" 1987 "Suspension.feeder" "abundance" 0.081798555493449
"696" "EBS" "Benthos" 1987 "Suspension.feeder" "biomass" 0.0977662688583652
"699" "EBS" "Benthos" 1987 "Top" "abundance" 0.400100384906034
"700" "EBS" "Benthos" 1987 "Top" "biomass" 0.314681378068003
"713" "EBS" "Benthos" 1988 "Deposit.feeder" "abundance" 0.416112779659149
"714" "EBS" "Benthos" 1988 "Deposit.feeder" "biomass" 0.318771731271024
"715" "EBS" "Benthos" 1988 "Direct.dvlpt" "abundance" 0.387406708751055
"716" "EBS" "Benthos" 1988 "Direct.dvlpt" "biomass" NA
"717" "EBS" "Benthos" 1988 "Epibenthic" "abundance" 0.403616975363273
"718" "EBS" "Benthos" 1988 "Epibenthic" "biomass" 0.605457029427634
"725" "EBS" "Benthos" 1988 "Lecitotrophic" "abundance" 0.136262171098413
"726" "EBS" "Benthos" 1988 "Lecitotrophic" "biomass" NA
"729" "EBS" "Benthos" 1988 "Middle" "abundance" 0.211082547406056
"730" "EBS" "Benthos" 1988 "Middle" "biomass" 0.148290590208164
"731" "EBS" "Benthos" 1988 "Planktotrophic" "abundance" 0.439118975558384
"732" "EBS" "Benthos" 1988 "Planktotrophic" "biomass" NA
"733" "EBS" "Benthos" 1988 "Predator" "abundance" 0.463914817815235
"734" "EBS" "Benthos" 1988 "Predator" "biomass" 0.649176916886999
"735" "EBS" "Benthos" 1988 "Scavenger" "abundance" 0
"736" "EBS" "Benthos" 1988 "Scavenger" "biomass" 0
"737" "EBS" "Benthos" 1988 "Size" "abundance" 3.84453200542474
"738" "EBS" "Benthos" 1988 "Size" "biomass" 3.60628302268462
"739" "EBS" "Benthos" 1988 "Suspension.feeder" "abundance" 0.0375885291649738
"740" "EBS" "Benthos" 1988 "Suspension.feeder" "biomass" 0.00451865504015074
"743" "EBS" "Benthos" 1988 "Top" "abundance" 0.373171707391578
"744" "EBS" "Benthos" 1988 "Top" "biomass" 0.209832871503968
"757" "EBS" "Benthos" 1990 "Deposit.feeder" "abundance" 0.173314052032143
"758" "EBS" "Benthos" 1990 "Deposit.feeder" "biomass" 0.100197055672938
"759" "EBS" "Benthos" 1990 "Direct.dvlpt" "abundance" 0.283639604448073
"760" "EBS" "Benthos" 1990 "Direct.dvlpt" "biomass" NA
"761" "EBS" "Benthos" 1990 "Epibenthic" "abundance" 0.585092946559276
"762" "EBS" "Benthos" 1990 "Epibenthic" "biomass" 0.799276656441462
"769" "EBS" "Benthos" 1990 "Lecitotrophic" "abundance" 0.0309464536567995
"770" "EBS" "Benthos" 1990 "Lecitotrophic" "biomass" NA
"773" "EBS" "Benthos" 1990 "Middle" "abundance" 0.121714002051421
"774" "EBS" "Benthos" 1990 "Middle" "biomass" 0.0991079306237902
"775" "EBS" "Benthos" 1990 "Planktotrophic" "abundance" 0.696827176634538
"776" "EBS" "Benthos" 1990 "Planktotrophic" "biomass" NA
"777" "EBS" "Benthos" 1990 "Predator" "abundance" 0.707038793294986
